Timeout,Transitions,Energy
235.0,18,0.759397746
236.0,18,0.759641016
237.0,18,0.759884286
238.0,18,0.760127556
239.0,18,0.760370826
240.0,18,0.760614096
241.0,18,0.760857366
242.0,18,0.761100636
243.0,18,0.761343906
244.0,18,0.761587176
245.0,18,0.761830446
246.0,18,0.762073716
247.0,18,0.762316986
248.0,18,0.762560256
249.0,18,0.762803526
250.0,18,0.763046796
251.0,18,0.763290066
252.0,18,0.763533336
253.0,18,0.763776606
254.0,18,0.764019876
255.0,18,0.764263146
256.0,18,0.764506416
257.0,18,0.764749686
258.0,18,0.764992956
259.0,18,0.765236226
260.0,18,0.765479496
261.0,18,0.765722766
262.0,18,0.765966036
263.0,18,0.766209306
264.0,18,0.766452576
265.0,18,0.766695846
266.0,18,0.766939116
267.0,18,0.767182386
268.0,18,0.767425656
269.0,18,0.767668926
270.0,18,0.767912196
271.0,18,0.768155466
272.0,18,0.768398736
273.0,18,0.768642006
274.0,18,0.768885276
275.0,18,0.769128546
276.0,18,0.769371816
277.0,18,0.769615086
278.0,18,0.769858356
279.0,18,0.770101626
280.0,18,0.770344896
281.0,18,0.770588166
282.0,18,0.770831436
283.0,18,0.771074706
284.0,18,0.771317976
285.0,18,0.771561246
286.0,18,0.771804516
287.0,18,0.772047786
288.0,18,0.772291056
289.0,18,0.772534326
290.0,18,0.772777596
291.0,18,0.773020866
292.0,18,0.773264136
293.0,18,0.773507406
294.0,18,0.773750676
295.0,18,0.773993946
296.0,18,0.774237216
297.0,18,0.774480486
298.0,18,0.774723756
299.0,18,0.774967026
300.0,18,0.775210296
301.0,18,0.775453566
302.0,18,0.775696836
303.0,18,0.775940106
304.0,18,0.776183376
305.0,18,0.776426646
306.0,18,0.776669916
307.0,18,0.776913186
308.0,18,0.777156456
309.0,18,0.777399726
310.0,18,0.777642996
311.0,18,0.777886266
312.0,18,0.778129536
313.0,18,0.778372806
314.0,18,0.778616076
315.0,18,0.778859346
316.0,18,0.779102616
317.0,18,0.779345886
318.0,18,0.779589156
319.0,18,0.779832426
320.0,18,0.780075696
321.0,18,0.780318966
322.0,18,0.780562236
323.0,18,0.780805506
324.0,18,0.781048776
325.0,18,0.781292046
326.0,18,0.781535316
327.0,18,0.781778586
328.0,18,0.782021856
329.0,18,0.782265126
330.0,18,0.782508396
331.0,18,0.782751666
332.0,18,0.782994936
333.0,18,0.783238206
334.0,18,0.783481476
335.0,18,0.783724746
336.0,18,0.783968016
337.0,18,0.784211286
338.0,18,0.784454556
339.0,18,0.784697826
340.0,18,0.784941096
341.0,18,0.785184366
342.0,18,0.785427636
343.0,18,0.785670906
344.0,18,0.785914176
345.0,18,0.786157446
346.0,18,0.786400716
347.0,18,0.786643986
348.0,18,0.786887256
349.0,18,0.787130526
350.0,18,0.787373796
351.0,18,0.787617066
352.0,18,0.787860336
353.0,18,0.788103606
354.0,18,0.788346876
355.0,18,0.788590146
356.0,18,0.788833416
357.0,18,0.789076686
358.0,18,0.789319956
359.0,18,0.789563226
360.0,18,0.789806496
361.0,18,0.790049766
362.0,18,0.790293036
363.0,18,0.790536306
364.0,18,0.790779576
365.0,18,0.791022846
366.0,18,0.791266116
367.0,18,0.791509386
368.0,18,0.791752656
369.0,18,0.791995926
370.0,18,0.792239196
371.0,18,0.792482466
372.0,18,0.792725736
373.0,18,0.792969006
374.0,18,0.793212276
375.0,18,0.793455546
376.0,18,0.793698816
377.0,18,0.793942086
378.0,18,0.794185356
379.0,18,0.794428626
380.0,18,0.794671896
