Timeout,Transitions,Energy
335.0,20,1.0133758999
336.0,20,1.0136461999
337.0,20,1.0139164999
338.0,20,1.0141867999
339.0,20,1.0144570999
340.0,20,1.0147273999
341.0,20,1.0149976999
342.0,20,1.0152679999
343.0,20,1.0155382999
344.0,20,1.0158085999
345.0,20,1.0160788999
346.0,20,1.0163491999
347.0,20,1.0166194999
348.0,20,1.0168897999
349.0,20,1.0171600999
350.0,20,1.0174303999
351.0,20,1.0177006999
352.0,20,1.0179709999
353.0,20,1.0182412999
354.0,20,1.0185115999
355.0,20,1.0187818999
356.0,20,1.0190521999
357.0,20,1.0193224999
358.0,20,1.0195927999
359.0,20,1.0198630999
360.0,20,1.0201333999
361.0,20,1.0204036999
362.0,20,1.0206739999
363.0,20,1.0209442999
364.0,20,1.0212145999
365.0,20,1.0214848999
366.0,20,1.0217551999
367.0,20,1.0220254999
368.0,20,1.0222957999
369.0,20,1.0225660999
370.0,20,1.0228363999
371.0,20,1.0231066999
372.0,20,1.0233769999
373.0,20,1.0236472999
374.0,20,1.0239175999
375.0,20,1.0241878999
376.0,20,1.0244581999
377.0,20,1.0247284999
378.0,20,1.0249987999
379.0,20,1.0252690999
380.0,20,1.0255393999
381.0,20,1.0258096999
382.0,20,1.0260799999
383.0,20,1.0263502999
384.0,20,1.0266205999
385.0,20,1.0268908999
386.0,20,1.0271611999
387.0,20,1.0274314999
388.0,20,1.0277017999
389.0,20,1.0279720999
390.0,20,1.0282423999
391.0,20,1.0285126999
392.0,20,1.0287829999
393.0,20,1.0290532999
394.0,20,1.0293235999
395.0,20,1.0295938999
396.0,20,1.0298641999
397.0,20,1.0301344999
398.0,20,1.0304047999
399.0,20,1.0306750999
400.0,20,1.0309453999
401.0,20,1.0312156999
402.0,20,1.0314859999
403.0,20,1.0317562999
404.0,20,1.0320265999
405.0,20,1.0322968999
406.0,20,1.0325671999
407.0,20,1.0328374999
408.0,20,1.0331077999
409.0,20,1.0333780999
410.0,20,1.0336483999
411.0,20,1.0339186999
412.0,20,1.0341889999
413.0,20,1.0344592999
414.0,20,1.0347295999
415.0,20,1.0349998999
416.0,20,1.0352701999
417.0,20,1.0355404999
418.0,20,1.0358107999
419.0,20,1.0360810999
420.0,20,1.0363513999
421.0,20,1.0366216999
422.0,20,1.0368919999
423.0,20,1.0371622999
424.0,20,1.0374325999
425.0,20,1.0377028999
426.0,20,1.0379731999
427.0,20,1.0382434999
428.0,20,1.0385137999
429.0,20,1.0387840999
430.0,20,1.0390543999
431.0,20,1.0393246999
432.0,20,1.0395949999
433.0,20,1.0398652999
434.0,20,1.0401355999
435.0,20,1.0404058999
436.0,20,1.0406761999
437.0,20,1.0409464999
438.0,20,1.0412167999
439.0,20,1.0414870999
440.0,20,1.0417573999
441.0,20,1.0420276999
442.0,20,1.0422979999
443.0,20,1.0425682999
444.0,20,1.0428385999
445.0,20,1.0431088999
446.0,20,1.0433791999
